B,2019-12-31,,,,BBB1,200,C_000001,C_000001,,,3,GAS 95,5.318,11.6016949153,13.69,61.6949152542,11.1050847458,72.8,,,,,,,GLL
B,2019-12-31,,,,BBB1,201,C_000001,C_000001,,,3,GAS 95,0.706,11.6016949153,13.69,8.1949152542,1.4750847458,9.67,,,,,,,GLL
B,2019-12-31,,,,BBB1,202,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,203,C_000001,C_000001,,,3,GAS 95,21.914,11.6016949153,13.69,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,204,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,205,C_000001,C_000001,,,2,GAS 90,2,10.5847457627,12.49,21.1694915254,3.8105084746,24.98,,,,,,,GLL
B,2019-12-31,,,,BBB1,206,C_000001,C_000001,,,2,GAS 90,0.001,10.5847457627,12.49,0.0084745763,0.0015254237,0.01,,,,,,,GLL
B,2019-12-31,,,,BBB1,207,C_000001,C_000001,,,2,GAS 90,0.646,10.5847457627,12.49,6.8389830508,1.2310169492,8.07,,,,,,,GLL
B,2019-12-31,,,,BBB1,208,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,209,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,210,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,211,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,212,C_000001,C_000001,,,4,GAS 98,13.342,12.7033898305,14.99,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,213,C_000001,C_000001,,,3,GAS 95,21.914,11.6016949153,13.69,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,214,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,215,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,216,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,217,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,218,C_000001,C_000001,,,2,GAS 90,1.601,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,219,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,220,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,221,C_000001,C_000001,,,3,GAS 95,0.365,11.6016949153,13.69,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,222,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,223,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,224,C_000001,C_000001,,,2,GAS 90,0.48,10.5847457627,12.49,5.0847457627,0.9152542373,6,,,,,,,GLL
B,2019-12-31,,,,BBB1,225,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,226,C_000001,C_000001,,,2,GAS 90,2.404,10.5847457627,12.49,25.4491525424,4.5808474576,30.03,,,,,,,GLL
B,2019-12-31,,,,BBB1,227,C_000001,C_000001,,,2,GAS 90,1.601,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,228,C_000001,C_000001,,,2,GAS 90,0.4,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,229,C_000001,C_000001,,,2,GAS 90,0.4,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,230,C_000001,C_000001,,,4,GAS 98,33.356,12.7033898305,14.99,42.3728813559,7.6271186441,50,,,,,,,GLL
B,2019-12-31,,,,BBB1,231,C_000001,C_000001,,,3,GAS 95,1.242,11.6016949153,13.69,14.406779661,2.593220339,17,,,,,,,GLL
B,2019-12-31,,,,BBB1,232,C_000001,C_000001,,,3,GAS 95,2,11.6016949153,13.69,23.2033898305,4.1766101695,27.38,,,,,,,GLL
B,2019-12-31,,,,BBB1,233,C_000001,C_000001,,,2,GAS 90,2.402,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,234,C_000001,C_000001,,,2,GAS 90,1.601,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,235,C_000001,C_000001,,,2,GAS 90,0.16,10.5847457627,12.49,1.6949152542,0.3050847458,2,,,,,,,GLL
B,2019-12-31,,,,BBB1,236,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,237,C_000001,C_000001,,,2,GAS 90,0.643,10.5847457627,12.49,6.8050847458,1.2249152542,8.03,,,,,,,GLL
B,2019-12-31,,,,BBB1,238,C_000001,C_000001,,,2,GAS 90,2.402,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,239,C_000001,C_000001,,,2,GAS 90,0.4,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,240,C_000001,C_000001,,,3,GAS 95,2.922,11.6016949153,13.69,33.8983050847,6.1016949153,40,,,,,,,GLL
B,2019-12-31,,,,BBB1,241,C_000001,C_000001,,,4,GAS 98,1.534,12.7033898305,14.99,19.4830508475,3.5069491525,22.99,,,,,,,GLL
B,2019-12-31,,,,BBB1,242,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,243,C_000001,C_000001,,,4,GAS 98,1.334,12.7033898305,14.99,16.9491525424,3.0508474576,20,,,,,,,GLL
